month,residential_status,non-seasonally_adjusted_unemployed,seasonally_adjusted_unemployed
1992-03,overall,26300,31600
1992-06,overall,41500,31100
1992-09,overall,28400,34900
1992-12,overall,28700,28400
1993-03,overall,21800,26300
1993-06,overall,41600,31200
1993-09,overall,26500,32900
1993-12,overall,30200,29700
1994-03,overall,26200,30700
1994-06,overall,41000,30900
1994-09,overall,25500,33300
1994-12,overall,35700,34000
1995-03,overall,27600,32100
1995-06,overall,47200,35600
1995-09,overall,23300,31300
1995-12,overall,34800,33100
1996-03,overall,31000,36300
1996-06,overall,48500,36800
1996-09,overall,23200,30300
1996-12,overall,33200,31700
1997-03,overall,25500,29700
1997-06,overall,40200,30600
1997-09,overall,22500,29200
1997-12,overall,35200,33500
1998-03,overall,31800,37100
1998-06,overall,54100,41300
1998-09,overall,56500,72400
1998-12,overall,78000,73900
1999-03,overall,58600,68400
1999-06,overall,79400,61700
1999-09,overall,52900,65800
1999-12,overall,56800,53600
2000-03,overall,52600,61500
2000-06,overall,97500,77500
2000-09,overall,37200,45500
2000-12,overall,54900,51700
2001-03,overall,37400,44000
2001-06,overall,63200,51000
2001-09,overall,56700,67800
2001-12,overall,92300,86500
2002-03,overall,71200,83700
2002-06,overall,97400,79600
2002-09,overall,72400,84500
2002-12,overall,90400,85700
2003-03,overall,75100,87800
2003-06,overall,104200,85000
2003-09,overall,98200,113100
2003-12,overall,95500,92100
2004-03,overall,76200,87800
2004-06,overall,103800,84300
2004-09,overall,61700,71100
2004-12,overall,78500,77800
2005-03,overall,69100,78200
2005-06,overall,100500,80400
2005-09,overall,71500,82900
2005-12,overall,66100,67600
2006-03,overall,56900,62700
2006-06,overall,88300,70200
2006-09,overall,63400,73600
2006-12,overall,70200,74200
2007-03,overall,67800,73300
2007-06,overall,79700,62900
2007-09,overall,41600,48800
2007-12,overall,45900,49200
2008-03,overall,50800,53100
2008-06,overall,81800,64500
2008-09,overall,57800,68400
2008-12,overall,74100,81600
2009-03,overall,92300,96200
2009-06,overall,124100,97200
2009-09,overall,87500,102100
2009-12,overall,63700,71200
2010-03,overall,66600,69400
2010-06,overall,88800,68900
2010-09,overall,58500,67800
2010-12,overall,63700,71300
2011-03,overall,58200,62100
2011-06,overall,87400,66000
2011-09,overall,57700,67800
2011-12,overall,61400,69300
2012-03,overall,64600,69000
2012-06,overall,87100,65800
2012-09,overall,56500,66100
2012-12,overall,55600,63500
2013-03,overall,62000,65700
2013-06,overall,90700,67900
2013-09,overall,54200,63300
2013-12,overall,56600,66000
2014-03,overall,68400,72300
2014-06,overall,90700,67900
2014-09,overall,60700,70200
2014-12,overall,59400,70500
2015-03,overall,63200,66700
2015-06,overall,94600,71000
2015-09,overall,61500,70600
2015-12,overall,59100,69500
2016-03,overall,65100,68100
2016-06,overall,102800,77800
2016-09,overall,67300,76500
2016-12,overall,69100,80500
2017-03,overall,77700,82700
2017-06,overall,106900,81000
2017-09,overall,68100,77600
2017-12,overall,65900,76200
2018-03,overall,69400,74400
2018-06,overall,100200,76000
2018-09,overall,68600,77700
2018-12,overall,71600,81800
2019-03,overall,74700,80900
2019-06,overall,110800,83800
2019-09,overall,74700,85100
2019-12,overall,74700,85000
2020-03,overall,82700,88700
2020-06,overall,141100,103500
